listing_id,year,make,model,damage,est_value,full_label,listing_url,image1_url,image2_url,image3_url,image4_url
23885009,2010,ACURA,MDX,FRONT END,12726,2010 ACURA MDX,https://www.copart.com/lot/23885009,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX133/a36fc639-f0d6-43a1-91b5-afac3efeaa53.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX133/a3405d62-f6eb-4a59-9e1a-af41e4ffb1d2.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX133/f6fd4cc2-453e-41eb-a532-1c5c07985469.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX133/a15abbac-bb28-4383-afb0-59cfdd5de5f9.JPG
24487306,2002,ACURA,3.2 CL,FRONT END,1984,2002 ACURA 3.2CL,https://www.copart.com/lot/24487306,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX4/fc065d91-59b4-4944-9730-bafc854552f4.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX4/9e4d3a1f-8fb8-4c8f-99b0-396ee6a99460.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX4/a6d2e762-89fe-4c28-8f7c-cf567c3fe49f.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX4/48d446e3-92c4-448e-a1b9-84cfe245a122.JPG
25667019,2012,ACURA,TL,FRONT END,13095,2012 ACURA TL,https://www.copart.com/lot/25667019,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX133/554ed268-ad2f-4f82-a45d-4ab0a4d3bce9.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX133/550e5154-4e24-4a02-b6c2-593579de946f.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX133/5efb5e18-cd6e-48ee-b53c-d3b410027533.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX133/8c49217c-232d-4579-bb97-3e5177b0d901.JPG
25717579,2005,ACURA,TL,VANDALISM,4275,2005 ACURA TL,https://www.copart.com/lot/25717579,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX134/511a8e49-0a71-4ddc-8195-1d5f402405ad.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX134/8c1b905e-da04-4957-947d-5e322fe5d2b9.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX134/295cbc24-6f9a-4dbc-a3e3-972e724126d2.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX134/2c25ec02-ef8f-4169-a52b-a6bf3858c65f.JPG
25887480,2008,ACURA,MDX TECHNO,FRONT END,7742,2008 ACURA MDX TECHNOLOGY,https://www.copart.com/lot/25887480,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX235/2a758cfa-0d39-4d10-b49f-20c0f6468461.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX235/388d20b0-c9f5-4c22-8363-9cf9df3748b9.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX235/e64d60ed-4b1b-4b2b-ba80-d9422b83055d.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX235/50abfeba-7cb3-48e3-bcb5-b430e14ec737.JPG
25914180,2005,ACURA,RL,FRONT END,5531,2005 ACURA RL,https://www.copart.com/lot/25914180,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX238/42c2886f-fbac-46c5-9e61-33443d0d0102.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX238/acc42896-39ca-419b-9d31-811488c643e2.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX238/86d5aa09-12d5-466a-9dc6-194bd5f6b96c.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX278/f6b93762-374c-4577-acaf-16524d521669.JPG
25942750,2017,ACURA,ILX BASE W,FRONT END,17183,2017 ACURA ILX BASE WATCH PLUS,https://www.copart.com/lot/25942750,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX238/96119481-bdea-43a7-bc5f-f43bfdc13cde.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX238/13b18e78-2913-4747-94f0-97f846f2101a.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX238/a1ec0a6f-4d67-4b80-8327-31202afadfc3.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX238/2e2097c5-4ad1-447f-bb5c-54b22fd0e38a.JPG
26003520,2016,ACURA,MDX TECHNO,SIDE,26106,2016 ACURA MDX TECHNOLOGY,https://www.copart.com/lot/26003520,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX240/72df7492-8f7c-449e-aac8-41d9479a8141.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX240/a886390d-4270-47cf-9e18-c9e30bc5ab49.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX240/16888316-0eac-47e6-9df9-481e0f0875a7.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX240/57713889-b9e0-404a-86f0-0f8c4bb07a21.JPG
26030430,2012,ACURA,TL,SIDE,12039,2012 ACURA TL,https://www.copart.com/lot/26030430,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX235/c15d2322-2517-4308-bf39-4f0537d9b5ba.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX235/3639b831-708a-4db3-8609-21fde2da4914.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX235/13ac761e-34e7-4429-ab28-ba31e2c0580d.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX235/0249952a-076f-4cfe-b6f3-bbc27891bc7a.JPG
26035250,2005,ACURA,MDX,UNDERCARRIAGE,3627,2005 ACURA MDX,https://www.copart.com/lot/26035250,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX237/9b502a7f-278c-4c4b-b943-900bb405b05f.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX237/8a3f5e36-f583-487b-ae06-7df8e603cb9b.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX237/a4a66d21-fd54-4a98-acbb-7569a8d661ee.JPG,https://cs.copart.com/v1/AUTH_svc.pdoc00001/PIX237/f5561e6b-09d1-4d84-bfa8-79a17e38a2b2.JPG
